
1/0
1/10,3085946050647
1/10,7135137623383
1/7,48815561967795
1/2,01592652916486
1/-3,46237999170028
1/-6,70365132881376
1/-6,31840878815686
1/-2,30102104664575
1/3,96814698206863
1/10,2494698560714
1/14,2986839461243
1/14,723279670104
1/11,5138715054086
1/6,04777942590127
1/0,563455117000444
1/-2,69369246959636
1/-2,32812639582438
1/1,67329303662931
1/7,9362942873235
1/14,2236051052694
1/18,288676911891
1/18,7329489530242
1/15,5395273879743
1/10,0796318378593
1/4,58934944429673
1/1,31636271426962
1/1,66225267052924
1/5,64766725330002
1/11,9044422389476
1/18,197681267161
1/22,2785736038978
1/22,7425215129928
1/19,5651230070662
1/14,111483441859
1/8,61530272746024
1/5,32651412076254
1/5,65272850851968
1/9,62210186337002
1/15,8725911601172
1/22,171698604774
1/26,2683741246546
1/26,7519972528848
1/23,5906581029866
1/18,1433339147283
1/12,6413147031645
1/9,33676164688446
1/9,64330121478074
1/13,5965971262302
1/19,8407413739991
1/26,3654198183319
1/30,3580339699161
1/30,6932636840804
1/27,3962981173297
1/21,8846548293899
1/16,4248031726943
1/13,2633592281273
1/13,7658910898101
1/17,8934560287359
1/24,2175283982112
1/30,4675959712738
1/34,4015147589162
1/34,6649894395652
1/31,3107150066947
1/25,7781772116854
1/20,3418548925324
1/17,2393446357279
1/17,8136235013123
1/21,9982460012994
1/28,3428146300396
1/34,5689603352277
1/38,4437090907915
1/38,635447207039
1/35,2243684346532
1/29,6717333166261
